  NOV  26  48952  0.17090 0.44140  0.151200  -26.848800  -15.20   -4.10
  DEC   1  48957  0.17440 0.42990  0.140010  -26.859990  -12.70   -3.10
  DEC   6  48962  0.18060 0.42070  0.126820  -26.873180  -15.50   -3.00
  DEC  11  48967  0.18510 0.41010  0.114710  -26.885290  -14.90   -3.20
  DEC  16  48972  0.19080 0.40000  0.100910  -26.899090  -13.90   -2.70
  DEC  21  48977  0.19480 0.38770  0.087580  -26.912420  -14.80   -2.50
  DEC  26  48982  0.19920 0.37510  0.077340  -26.922660  -13.50   -2.20
  DEC  31  48987  0.20780 0.36200  0.064740  -26.935260  -13.10   -1.80
  JAN   5  48992  0.20900 0.34660  0.051660  -26.948340  -13.40   -2.60
  JAN  10  48997  0.21280 0.33320  0.039200  -26.960800  -13.50   -2.30
  JAN  15  49002  0.21530 0.32180  0.024700  -26.975300  -14.60   -2.20
  JAN  20  49007  0.21200 0.30690  0.013390  -26.986610  -13.60   -2.80
  JAN  25  49012  0.21240 0.29430  0.002050  -26.997950  -13.90   -2.00
  JAN  30  49017  0.20910 0.28370 -0.011360  -27.011360  -15.00   -2.70
  FEB   4  49022  0.20560 0.26960 -0.023540  -27.023540  -14.40   -3.60
  FEB   9  49027  0.20490 0.25780 -0.038600  -27.038600  -13.50   -2.90
  FEB  14  49032  0.19950 0.24500 -0.053100  -27.053100  -14.60   -3.80
  FEB  19  49037  0.19630 0.23270 -0.064480  -27.064480  -14.30   -3.90
  FEB  24  49042  0.18730 0.22480 -0.078280  -27.078280  -14.00   -3.90
  MAR   1  49047  0.17660 0.21440 -0.090820  -27.090820  -13.50   -4.80
  MAR   6  49052  0.16840 0.20610 -0.102740  -27.102740  -13.70   -5.00
  MAR  11  49057  0.16310 0.19830 -0.118410  -27.118410  -14.20   -4.90
  MAR  16  49062  0.15600 0.19120 -0.131720  -27.131720  -13.30   -5.60
  MAR  21  49067  0.14460 0.18390 -0.145080  -27.145080  -12.70   -5.50
  MAR  26  49072  0.13330 0.17720 -0.159240  -27.159240  -13.10   -6.10
  MAR  31  49077  0.11770 0.17070 -0.171100  -27.171100  -12.00   -6.90
  APR   5  49082  0.10440 0.16730 -0.185420  -27.185420  -12.00   -6.30
  APR  10  49087  0.08710 0.16490 -0.200870  -27.200870  -12.70   -6.80
  APR  15  49092  0.07620 0.16360 -0.214370  -27.214370  -11.80   -7.20
  APR  20  49097  0.06550 0.16340 -0.229010  -27.229010  -11.70   -7.20
  APR  25  49102  0.05110 0.16280 -0.242620  -27.242620  -11.00   -8.20
  APR  30  49107  0.03950 0.16460 -0.256260  -27.256260  -10.70   -8.00
  MAY   5  49112  0.03140 0.16610 -0.273010  -27.273010  -13.30   -7.60
  MAY  10  49117  0.02210 0.16630 -0.285810  -27.285810  -12.30   -7.80
  MAY  15  49122  0.01400 0.16740 -0.298190  -27.298190  -11.00   -7.40
  MAY  20  49127  0.00760 0.17190 -0.310740  -27.310740  -13.30   -7.90
  MAY  25  49132 -0.00270 0.17650 -0.321670  -27.321670  -12.70   -8.20
  MAY  30  49137 -0.01200 0.17840 -0.334910  -27.334910  -12.90   -7.30
  JUN   4  49142 -0.02090 0.18090 -0.347110  -27.347110  -14.00   -7.50
  JUN   9  49147 -0.03020 0.18530 -0.356830  -27.356830  -13.30   -7.40
  JUN  14  49152 -0.03660 0.19060 -0.367870  -27.367870  -15.20   -7.60
  JUN  19  49157 -0.04510 0.19690 -0.377260  -27.377260  -16.20   -8.40
  JUN  24  49162 -0.05440 0.20140 -0.386740  -27.386740  -16.00   -7.70
  JUN  29  49167 -0.06000 0.20690 -0.397790  -27.397790  -18.10   -7.10
  JUL   4  49172 -0.06580 0.21300  0.594640  -27.405360  -17.90   -7.30
  JUL   9  49177 -0.06840 0.21760  0.586970  -27.413030  -18.40   -6.90
  JUL  14  49182 -0.06950 0.22380  0.579290  -27.420710  -20.30   -7.10
  JUL  19  49187 -0.07280 0.23150  0.572850  -27.427150  -20.10   -7.50
  JUL  24  49192 -0.07490 0.23990  0.562870  -27.437130  -21.50   -7.00
  JUL  29  49197 -0.08000 0.24840  0.553930  -27.446070  -22.50   -7.20
  AUG   3  49202 -0.08510 0.25730  0.546150  -27.453850  -22.00   -7.00
  AUG   8  49207 -0.09210 0.26700  0.536350  -27.463650  -23.50   -6.90
  AUG  13  49212 -0.09570 0.27740  0.528470  -27.471530  -24.10   -8.10
  AUG  18  49217 -0.09980 0.28710  0.519160  -27.480840  -23.90   -7.90
  AUG  23  49222 -0.10210 0.29550  0.506900  -27.493100  -25.50   -7.40
  AUG  28  49227 -0.10080 0.30650  0.498360  -27.501640  -24.40   -7.20
  SEP   2  49232 -0.09930 0.31690  0.489000  -27.511000  -24.50   -6.60
  SEP   7  49237 -0.10030 0.32560  0.478990  -27.521010  -25.60   -7.50
  SEP  12  49242 -0.10060 0.33400  0.470060  -27.529940  -24.30   -7.90
  SEP  17  49247 -0.09690 0.34560  0.457040  -27.542960  -25.70   -7.10
  SEP  22  49252 -0.09730 0.35320  0.445410  -27.554590  -26.50   -7.10
  SEP  27  49257 -0.09590 0.36170  0.434610  -27.565390  -24.80   -6.70
  OCT   2  49262 -0.09530 0.37170  0.422810  -27.577190  -25.40   -6.70
  OCT   7  49267 -0.09280 0.38070  0.412070  -27.587930  -24.20   -7.40
  OCT  12  49272 -0.08700 0.39000  0.399370  -27.600630  -23.60   -6.70
  OCT  17  49277 -0.08180 0.39990  0.383700  -27.616300  -24.90   -6.30
  OCT  22  49282 -0.07980 0.40670  0.371430  -27.628570  -23.00   -6.30
  OCT  27  49287 -0.07640 0.41510  0.358140  -27.641860  -22.00   -6.10
  NOV   1  49292 -0.07360 0.42080  0.345190  -27.654810  -22.60   -6.00
  NOV   6  49297 -0.06460 0.42630  0.334050  -27.665950  -21.20   -5.80
  NOV  11  49302 -0.05490 0.43420  0.319790  -27.680210  -21.80   -5.20
  NOV  16  49307 -0.04850 0.43850  0.306520  -27.693480  -21.00   -4.90
  NOV  21  49312 -0.04530 0.44370  0.294960  -27.705040  -18.80   -4.70
  NOV  26  49317 -0.04090 0.44890  0.282830  -27.717170  -19.80   -4.90
  DEC   1  49322 -0.03660 0.45190  0.272820  -27.727180  -18.80   -4.50
  DEC   6  49327 -0.02900 0.45660  0.262460  -27.737540  -18.40   -4.00
  DEC  11  49332 -0.02240 0.46140  0.249370  -27.750630  -19.30   -4.30
  DEC  16  49337 -0.01700 0.46750  0.237940  -27.762060  -17.00   -3.70
  DEC  21  49342 -0.00970 0.47150  0.225050  -27.774950  -17.50   -3.50
  DEC  26  49347  0.00120 0.47580  0.212940  -27.787060  -18.70   -4.00
  DEC  31  49352  0.00780 0.47550  0.201850  -27.798150  -17.30   -3.60
  JAN   5  49357  0.02060 0.47800  0.188330  -27.811670  -18.10   -3.10
