OTIDES 100 2 0  1 11 021         -0.01219990     0.00000000           18i+     11101  055.5655 
OTIDES 100 2 0  1  1-112         -0.01176698    -0.02376708           Sa        1092  056.5545 
OTIDES 100 3 0  1  1-112          0.03721773    -0.03588334           Sa        1092  056.5545 
OTIDES 100 4 0  1  1-112         -0.00041578    -0.00005940           Sa        1092  056.5545 
OTIDES 100 5 0  1  1-112          0.00081999    -0.00000372           Sa        1092  056.5545 
OTIDES 100 6 0  1  1-112         -0.00064074     0.00086940           Sa        1092  056.5545 
OTIDES 100 7 0  1  1-112          0.00066300     0.00036400           Sa        1092  056.5545 
OTIDES 100 8 0  1  1-112         -0.00021400    -0.00012200           Sa        1092  056.5545 
OTIDES 100 7 0 -1 20 012      0.40957960E-02 0.22038850E-02           Ssa+   2020102  057.5555 
OTIDES 100 7 1 -1 20 012     -0.30347375E-03 0.42782050E-04           Ssa+   2020102  057.5555 
OTIDES-100 7 1 -1 20 012      0.41649095E-03 0.33454165E-03           Ssa-   3020102  057.5555 
OTIDES 100 7 2 -1 20 012     -0.33548490E-04 0.40568675E-04           Ssa+   2020102  057.5555 
OTIDES-100 7 2 -1 20 012      0.92688500E-05 0.19358115E-04           Ssa-   3020102  057.5555 
OTIDES 100 7 3 -1 20 012     -0.23705280E-05-0.65610015E-05           Ssa+   2020102  057.5555 
OTIDES-100 7 3 -1 20 012     -0.67667500E-06-0.86219985E-05           Ssa-   3020102  057.5555 
OTIDES 100 7 4 -1 20 012     -0.78354085E-06-0.25413875E-06           Ssa+   2020102  057.5555 
OTIDES-100 7 4 -1 20 012      0.79864115E-06-0.88725125E-06           Ssa-   3020102  057.5555 
OTIDES 100 7 5 -1 20 012      0.45629900E-07 0.10042181E-06           Ssa+   2020102  057.5555 
OTIDES-100 7 5 -1 20 012      0.17178220E-06 0.99304095E-07           Ssa-   3020102  057.5555 
OTIDES 100 7 6 -1 20 012      0.15928799E-07 0.10364517E-07           Ssa+   2020102  057.5555 
OTIDES-100 7 6 -1 20 012      0.86927710E-08 0.16445424E-07           Ssa-   3020102  057.5555 
OTIDES 100 7 7 -1 20 012      0.66555720E-08-0.38588250E-08           Ssa+   2020102  057.5555 
OTIDES-100 7 7 -1 20 012     -0.46263880E-08-0.18215040E-08           Ssa-   3020102  057.5555 
OTIDES 100 8 0 -1 20 012     -0.12952310E-02-0.74688920E-03           Ssa+   2020102  057.5555 
OTIDES 100 8 1 -1 20 012     -0.34530415E-04 0.16480380E-03           Ssa+   2020102  057.5555 
OTIDES-100 8 1 -1 20 012      0.97923985E-04-0.17600700E-04           Ssa-   3020102  057.5555 
OTIDES 100 8 2 -1 20 012      0.26806845E-04 0.28264800E-04           Ssa+   2020102  057.5555 
OTIDES-100 8 2 -1 20 012      0.92545950E-05 0.65913400E-05           Ssa-   3020102  057.5555 
OTIDES 100 8 3 -1 20 012     -0.77507500E-07 0.63064350E-06           Ssa+   2020102  057.5555 
OTIDES-100 8 3 -1 20 012      0.23788455E-05 0.19536565E-05           Ssa-   3020102  057.5555 
OTIDES 100 8 4 -1 20 012     -0.45229585E-06 0.64793595E-06           Ssa+   2020102  057.5555 
OTIDES-100 8 4 -1 20 012      0.60204715E-06-0.16135491E-08           Ssa-   3020102  057.5555 
OTIDES 100 8 5 -1 20 012     -0.33808930E-07 0.12050370E-06           Ssa+   2020102  057.5555 
OTIDES-100 8 5 -1 20 012      0.10129410E-07-0.14506000E-07           Ssa-   3020102  057.5555 
OTIDES 100 8 6 -1 20 012      0.40095560E-08-0.85437739E-09           Ssa+   2020102  057.5555 
OTIDES-100 8 6 -1 20 012      0.18429600E-08 0.17078536E-08           Ssa-   3020102  057.5555 
OTIDES 100 8 7 -1 20 012      0.64225265E-09 0.24799850E-09           Ssa+   2020102  057.5555 
OTIDES-100 8 7 -1 20 012      0.49924735E-09 0.15842385E-08           Ssa-   3020102  057.5555 
OTIDES 100 8 8 -1 20 012      0.34533849E-09-0.57452664E-10           Ssa+   2020102  057.5555 
OTIDES-100 8 8 -1 20 012     -0.26528531E-09-0.74196035E-10           Ssa-   3020102  057.5555 
OTIDES 100 9 0 -1 20 012      0.32873520E-02 0.81297180E-03           Ssa+   2020102  057.5555 
OTIDES 100 9 1 -1 20 012     -0.10169531E-03 0.13073216E-03           Ssa+   2020102  057.5555 
OTIDES-100 9 1 -1 20 012     -0.14490095E-04 0.21016654E-03           Ssa-   3020102  057.5555 
OTIDES 100 9 2 -1 20 012     -0.18820500E-06-0.10114500E-05           Ssa+   2020102  057.5555 
OTIDES-100 9 2 -1 20 012      0.53650360E-05 0.19678050E-04           Ssa-   3020102  057.5555 
OTIDES 100 9 3 -1 20 012      0.34891605E-06 0.32991400E-06           Ssa+   2020102  057.5555 
OTIDES-100 9 3 -1 20 012      0.13334819E-05 0.31614840E-05           Ssa-   3020102  057.5555 
OTIDES 100 9 4 -1 20 012     -0.14949000E-08-0.33145100E-07           Ssa+   2020102  057.5555 
OTIDES-100 9 4 -1 20 012      0.28242980E-06 0.22088230E-06           Ssa-   3020102  057.5555 
OTIDES 100 9 5 -1 20 012     -0.96848900E-08 0.15597995E-07           Ssa+   2020102  057.5555 
OTIDES-100 9 5 -1 20 012      0.43007560E-07 0.27154125E-07           Ssa-   3020102  057.5555 
